mdl_month,score_column,score_decile,lower_bound,upper_bound,n_samples,pct,bad,bad_rate,baseline_pct,psi_component,month_psi
2025-06,gcard_v4,2,"(0.006918, 0.008082]","(0.006918, 0.008082]",109069,0.090894,733,0.006721,0.093631,8.1e-05,0.000237
2025-06,gcard_v4,3,"(0.008082, 0.008609]","(0.008082, 0.008609]",94147,0.078458,601,0.006384,0.081566,0.000121,0.000358
2025-06,gcard_v4,4,"(0.008609, 0.009559]","(0.008609, 0.009559]",116646,0.097208,977,0.008376,0.100145,8.7e-05,0.000445
2025-06,gcard_v4,5,"(0.009559, 0.011621]","(0.009559, 0.011621]",115954,0.096631,1420,0.012246,0.09984,0.000105,0.00055
2025-06,gcard_v4,6,"(0.011621, 0.056511]","(0.011621, 0.056511]",118178,0.098485,7121,0.060257,0.100068,2.5e-05,0.000575
2025-06,gcard_v4,7,"(0.056511, 0.133453]","(0.056511, 0.133453]",121118,0.100935,13383,0.110496,0.099932,1e-05,0.000585
2025-06,gcard_v4,8,"(0.133453, 0.258340]","(0.133453, 0.258340]",124265,0.103557,27834,0.223989,0.1,0.000124,0.00071
2025-06,gcard_v4,9,"(0.258340, 0.525389]","(0.258340, 0.525389]",126718,0.105602,55897,0.441113,0.1,0.000305,0.001015
2025-06,gcard_v4,10,"(0.525389, 0.958618]","(0.525389, +inf)",129330,0.107778,100688,0.778536,0.1,0.000583,0.001598
2025-07,gcard_v4,1,"(-inf, 0.006918]","(-inf, 0.006918]",149414,0.124515,975,0.006525,0.124817,1e-06,1e-06
2025-07,gcard_v4,2,"(0.006918, 0.008082]","(0.006918, 0.008082]",112467,0.093725,826,0.007344,0.093631,0.0,1e-06
2025-07,gcard_v4,3,"(0.008082, 0.008609]","(0.008082, 0.008609]",98738,0.082284,728,0.007373,0.081566,6e-06,7e-06
2025-07,gcard_v4,4,"(0.008609, 0.009559]","(0.008609, 0.009559]",123728,0.103109,1035,0.008365,0.100145,8.6e-05,9.4e-05
2025-07,gcard_v4,5,"(0.009559, 0.011621]","(0.009559, 0.011621]",125682,0.104738,1589,0.012643,0.09984,0.000235,0.000328
2025-07,gcard_v4,6,"(0.011621, 0.056511]","(0.011621, 0.056511]",115163,0.095972,7482,0.064969,0.100068,0.000171,0.000499
2025-07,gcard_v4,7,"(0.056511, 0.133453]","(0.056511, 0.133453]",113035,0.094198,12913,0.114239,0.099932,0.000339,0.000838
2025-07,gcard_v4,8,"(0.133453, 0.258340]","(0.133453, 0.258340]",114870,0.095728,27285,0.237529,0.1,0.000187,0.001025
2025-07,gcard_v4,9,"(0.258340, 0.525389]","(0.258340, 0.525389]",121888,0.101576,56106,0.460308,0.1,2.5e-05,0.001049
2025-07,gcard_v4,10,"(0.525389, 0.958618]","(0.525389, +inf)",124979,0.104152,98240,0.786052,0.1,0.000169,0.001218
2025-08,gcard_v4,1,"(-inf, 0.006918]","(-inf, 0.006918]",152303,0.126921,977,0.006415,0.124817,3.5e-05,3.5e-05
2025-08,gcard_v4,2,"(0.006918, 0.008082]","(0.006918, 0.008082]",114830,0.095693,942,0.008203,0.093631,4.5e-05,8e-05
2025-08,gcard_v4,3,"(0.008082, 0.008609]","(0.008082, 0.008609]",100335,0.083614,794,0.007913,0.081566,5.1e-05,0.000131
2025-08,gcard_v4,4,"(0.008609, 0.009559]","(0.008609, 0.009559]",126137,0.105116,1193,0.009458,0.100145,0.000241,0.000372
2025-08,gcard_v4,5,"(0.009559, 0.011621]","(0.009559, 0.011621]",128132,0.106779,1567,0.01223,0.09984,0.000466,0.000838
2025-08,gcard_v4,6,"(0.011621, 0.056511]","(0.011621, 0.056511]",115134,0.095947,7630,0.066271,0.100068,0.000173,0.001011
2025-08,gcard_v4,7,"(0.056511, 0.133453]","(0.056511, 0.133453]",110474,0.092063,13220,0.119666,0.099932,0.000645,0.001657
2025-08,gcard_v4,8,"(0.133453, 0.258340]","(0.133453, 0.258340]",110163,0.091804,27831,0.252635,0.1,0.000701,0.002357
2025-08,gcard_v4,9,"(0.258340, 0.525389]","(0.258340, 0.525389]",119665,0.099723,56826,0.474876,0.1,1e-06,0.002358
