segment,final_flag,score_version,intent_level,zc_level,n_samples,ftr_30d_count,ftr_30d_rate
老户次新,DEV-OOS,gcard_v5,高意愿,5,20133,14774,0.7338200963592112
老户次新,DEV-OOS,gcard_v5,高意愿,6,100754,73131,0.7258371876054549
老户次新,DEV-OOS,gcard_v5,高意愿,7,38645,28051,0.725863630482598
老户次新,DEV-OOS,gcard_v5,低意愿,合计,429207,72506,0.16893014326420586
老户次新,DEV-OOS,gcard_v5,中意愿,合计,429206,177012,0.4124173473809779
老户次新,DEV-OOS,gcard_v5,高意愿,合计,429207,313530,0.7304866882413381
老户次新,DEV-OOS,gcard_v5,合计,1,45729,20081,0.4391305298607011
老户次新,DEV-OOS,gcard_v5,合计,2,175830,76152,0.43310015355741344
老户次新,DEV-OOS,gcard_v5,合计,3,278439,112830,0.4052234062038723
老户次新,DEV-OOS,gcard_v5,合计,4,345770,148936,0.43073719524539433
老户次新,DEV-OOS,gcard_v5,合计,5,63632,27863,0.4378771687201408
老户次新,DEV-OOS,gcard_v5,合计,6,298924,134224,0.4490238321446254
老户次新,DEV-OOS,gcard_v5,合计,7,79296,42962,0.5417927764326069
老户次新,DEV-OOS,gcard_v5,合计,合计,1287620,563048,0.43727807893633214
老户次新,DEV-OOS,gcard_v6,低意愿,1,10572,1419,0.13422247446083996
老户次新,DEV-OOS,gcard_v6,低意愿,2,55080,7470,0.13562091503267973
老户次新,DEV-OOS,gcard_v6,低意愿,3,111056,15444,0.13906497622820918
老户次新,DEV-OOS,gcard_v6,低意愿,4,127080,18504,0.14560906515580738
老户次新,DEV-OOS,gcard_v6,低意愿,5,22266,3347,0.15031887182250966
老户次新,DEV-OOS,gcard_v6,低意愿,6,92221,13827,0.14993331236920007
老户次新,DEV-OOS,gcard_v6,低意愿,7,10932,1505,0.1376692279546286
老户次新,DEV-OOS,gcard_v6,中意愿,1,18886,6680,0.3537011542941862
老户次新,DEV-OOS,gcard_v6,中意愿,2,61055,22770,0.37294242895749735
老户次新,DEV-OOS,gcard_v6,中意愿,3,86902,34834,0.40084232813974363
老户次新,DEV-OOS,gcard_v6,中意愿,4,108471,44351,0.408874261323303
老户次新,DEV-OOS,gcard_v6,中意愿,5,21059,8859,0.4206752457381642
老户次新,DEV-OOS,gcard_v6,中意愿,6,104605,42683,0.40803976865350605
老户次新,DEV-OOS,gcard_v6,中意愿,7,28228,11490,0.407042652685277
老户次新,DEV-OOS,gcard_v6,高意愿,1,16271,11982,0.7364021879417368
老户次新,DEV-OOS,gcard_v6,高意愿,2,59695,45912,0.7691096406734232
老户次新,DEV-OOS,gcard_v6,高意愿,3,80481,62552,0.7772269231247126
老户次新,DEV-OOS,gcard_v6,高意愿,4,110219,86081,0.7809996461590107
老户次新,DEV-OOS,gcard_v6,高意愿,5,20307,15657,0.7710149209632147
老户次新,DEV-OOS,gcard_v6,高意愿,6,102098,77714,0.7611706399733589
老户次新,DEV-OOS,gcard_v6,高意愿,7,40136,29967,0.7466364361172015
老户次新,DEV-OOS,gcard_v6,低意愿,合计,429207,61516,0.143324782680618
老户次新,DEV-OOS,gcard_v6,中意愿,合计,429206,171667,0.3999641197932927
老户次新,DEV-OOS,gcard_v6,高意愿,合计,429207,329865,0.7685452473981086
老户次新,DEV-OOS,gcard_v6,合计,1,45729,20081,0.4391305298607011
老户次新,DEV-OOS,gcard_v6,合计,2,175830,76152,0.43310015355741344
老户次新,DEV-OOS,gcard_v6,合计,3,278439,112830,0.4052234062038723
老户次新,DEV-OOS,gcard_v6,合计,4,345770,148936,0.43073719524539433
老户次新,DEV-OOS,gcard_v6,合计,5,63632,27863,0.4378771687201408
老户次新,DEV-OOS,gcard_v6,合计,6,298924,134224,0.4490238321446254
老户次新,DEV-OOS,gcard_v6,合计,7,79296,42962,0.5417927764326069
老户次新,DEV-OOS,gcard_v6,合计,合计,1287620,563048,0.43727807893633214
老户,DEV-OOS,model_score,低意愿,1,13536,2003,0.147975768321513
老户,DEV-OOS,model_score,低意愿,2,62320,9142,0.14669448010269576
老户,DEV-OOS,model_score,低意愿,3,98993,13613,0.13751477377188287
老户,DEV-OOS,model_score,低意愿,4,113658,16604,0.14608738496190327
