segment,final_flag,score_version,intent_level,zc_level,n_samples,sample_pct,row_pct,col_pct
老户次新,DEV-OOS,gcard_v4,中意愿,7,30175,0.023434708997996302,0.070304236194275,0.38053621872477805
老户次新,DEV-OOS,gcard_v4,高意愿,1,19166,0.014884826268619623,0.044654444126027766,0.4191213453169761
老户次新,DEV-OOS,gcard_v4,高意愿,2,63027,0.04894844752333763,0.1468452285260958,0.3584541887049991
老户次新,DEV-OOS,gcard_v4,高意愿,3,82332,0.06394122489554371,0.19182352571137004,0.2956913363429692
老户次新,DEV-OOS,gcard_v4,高意愿,4,109178,0.08479054379397648,0.2543714338302963,0.3157532463776499
老户次新,DEV-OOS,gcard_v4,高意愿,5,19859,0.01542302853326292,0.046269049666011974,0.3120914005531808
老户次新,DEV-OOS,gcard_v4,高意愿,6,98258,0.07630978083596092,0.22892916471539373,0.32870562417203036
老户次新,DEV-OOS,gcard_v4,高意愿,7,37387,0.02903574035818021,0.08710715342480435,0.471486581920904
老户次新,DEV-OOS,gcard_v4,低意愿,合计,429207,0.3333335922088815,1.0,
老户次新,DEV-OOS,gcard_v4,中意愿,合计,429206,0.333332815582237,1.0,
老户次新,DEV-OOS,gcard_v4,高意愿,合计,429207,0.3333335922088815,1.0,
老户次新,DEV-OOS,gcard_v4,合计,1,45729,0.03551435982665693,,1.0
老户次新,DEV-OOS,gcard_v4,合计,2,175830,0.1365542629036517,,1.0
老户次新,DEV-OOS,gcard_v4,合计,3,278439,0.2162431462698622,,1.0
老户次新,DEV-OOS,gcard_v4,合计,4,345770,0.26853419487115765,,1.0
老户次新,DEV-OOS,gcard_v4,合计,5,63632,0.04941830664326432,,1.0
老户次新,DEV-OOS,gcard_v4,合计,6,298924,0.23215234308258648,,1.0
老户次新,DEV-OOS,gcard_v4,合计,7,79296,0.06158338640282071,,1.0
老户次新,DEV-OOS,gcard_v4,合计,合计,1287620,1.0,,
老户次新,DEV-OOS,gcard_v5,低意愿,1,12170,0.009451546263649213,0.02835461676999676,0.2661330884121673
老户次新,DEV-OOS,gcard_v5,低意愿,2,57978,0.04502725959522219,0.13508167387763947,0.32973895239720186
老户次新,DEV-OOS,gcard_v5,低意愿,3,110786,0.08603935943834361,0.25811787785380946,0.3978824805433147
老户次新,DEV-OOS,gcard_v5,低意愿,4,124935,0.09702784983147202,0.2910833234313513,0.3613240015038899
老户次新,DEV-OOS,gcard_v5,低意愿,5,21282,0.016528168248396265,0.049584466236571166,0.33445436258486294
老户次新,DEV-OOS,gcard_v5,低意愿,6,89096,0.06919432751898852,0.20758282134261558,0.298055693085868
老户次新,DEV-OOS,gcard_v5,低意愿,7,12960,0.01006508131280968,0.03019522048801627,0.16343825665859565
老户次新,DEV-OOS,gcard_v5,中意愿,1,16202,0.012582904894301113,0.03774877331630965,0.3543047081720571
老户次新,DEV-OOS,gcard_v5,中意愿,2,56394,0.043797082990323234,0.1313914530551763,0.32073025081044193
老户次新,DEV-OOS,gcard_v5,中意愿,3,86777,0.06739333033037698,0.20218030502835468,0.3116553356390448
老户次新,DEV-OOS,gcard_v5,中意愿,4,110851,0.08608984017023656,0.25826992166931495,0.32059172282152876
老户次新,DEV-OOS,gcard_v5,中意愿,5,22217,0.017254314161010236,0.05176302288411625,0.34914822730701534
老户次新,DEV-OOS,gcard_v5,中意愿,6,109074,0.08470977462294776,0.25412971859666456,0.3648887342602133
老户次新,DEV-OOS,gcard_v5,中意愿,7,27691,0.021505568413041114,0.06451680545006361,0.3492105528652139
老户次新,DEV-OOS,gcard_v5,高意愿,1,17357,0.013479908668706606,0.0404396945995755,0.37956220341577557
