feature,real_importance,null_p75,null_mean,score
ddf_ato_fst_ord_crt_dte,599.9083824157715,275.4617602825165,234.72303669452668,2.177828174046732
ddf_3m_rep_dte_5_crt_dt_sum_prc_amt,75.5846004486084,35.002875566482544,29.20361065864563,2.1593826000108804
d720_trade_fail_count_mon_divide_his_trade_success_count_mon,201.19919872283936,94.72007298469543,82.40431349277496,2.1241453092561327
m6_stg_pln_manual_rep_apl_fal_cnt_max,30.388599395751953,14.342625141143799,8.309373021125793,2.1187613213551866
m3_pmt_not_eng_equal_3_stg_pln_d0_amt_sum,54.99039936065674,26.099802494049072,19.024203968048095,2.106927796606695
rsk_avl_lmt_ch_les_10000_rate_3m,39.52190113067627,18.936232805252075,13.569249582290649,2.0871047339318007
stg_pln_cnt_7d_ftr_rep_cash,53.949100494384766,25.888910055160522,16.2118989944458,2.083869130814602
m6_manual_tim_0_5_rep_apl_suc_cnt,72.512939453125,35.139350175857544,23.717062091827394,2.0635822543737574
min_ddf_rep_tim_dte_adv,207.91700839996338,101.01296758651733,74.3561428308487,2.0583199698779566
m1_manual_rep_apl_stg_pln_cnt_avg,162.53139972686768,79.27369523048401,65.79603815078735,2.050256383965909
his_trade_fail_amt_sum_mon_divide_his_trade_success_amt_sum_mon,272.1520013809204,134.28365111351013,119.65575890541076,2.0266949783102786
d90_apl_ord_prc_amt_per_stg_min_all,73.62060165405273,36.77139973640442,28.509351563453674,2.0021158340939325
his_due_repay_amt_avg_divide_his_faqi_trade_amt_avg,600.0205984115601,299.70200181007385,248.96293969154357,2.0020573596028335
af_1y_inter_3m_sum_up,151.59650039672852,76.87080073356628,61.058567142486574,1.9720947219238816
rsk_avl_lmt_ch_1m_les_1000_rate_6m,180.50650024414062,91.53667521476746,64.66696560382843,1.97195823226732
pst_ord_apl_suc_sum_stg_num_360_day_bjq_12m,122.85828113555908,62.67948043346405,46.623010230064395,1.960103693998811
d720_due_repay_amt_avg_divide_d720_faqi_trade_amt_avg,260.441201210022,132.924320936203,109.3738621711731,1.9593194035199974
stg_pln_sum_rep_prc_6m_his_adv,88.19540119171143,45.123849630355835,29.87707896232605,1.9545185509256813
stg_pln_sum_rep_prc_his_adv,260.3869037628174,133.4153118133545,105.65021662712097,1.951701796620569
m3_pmt_not_eng_equal_2_stg_pln_cnt_rat,113.22769927978516,58.44123959541321,40.992740869522095,1.937462313661668
m1_stg_pln_normal_batch_rep_apl_cnt_equal_2_cnt,22.08739948272705,11.6878502368927,7.327229595184326,1.8897743413077088
m1_stg_pln_d0_manual_rep_apl_suc_cnt_rat,96.19969940185547,50.95539999008179,29.57246551513672,1.8879196203067832
6m_repay_amt_first_der_median,270.78669929504395,143.6872831583023,115.5827926158905,1.8845557751740245
d180_faqi_trade_amt_larger_than_due_repay_amt_by_mon_count_sum,81.30430030822754,43.640995025634766,31.85045642852783,1.86302581461466
payment_balancenotenough_day_1m,33.456600189208984,18.159792184829712,12.92141842842102,1.8423448819616937
