feature,split,gain,rank
m1_stg_pln_rep_apl_cnt_equal_2_cnt_rat,0,0.0,903
payment_not_balancenotenough_dis_rate_3m,0,0.0,904
stg_pln_avg_prc_amt_6m_light,0,0.0,905
m1_manual_tim_13_18_rep_apl_cnt_rat,0,0.0,906
d7_d360_apl_ord_cnt_rat_all,0,0.0,907
ftr_pending_repay_interest_fee_sum,0,0.0,908
unpaid_principal_future_light_divide_heavy,0,0.0,909
m3_stg_pln_his_ovd_rep_apl_cnt_rat,0,0.0,910
ord_apl_cnt_360_day_19_23_bjq_12m,0,0.0,911
stg_pln_cnt_adv_fst_ord_bjq_12m,0,0.0,912
m1_pmt_not_eng_mor_3_stg_pln_amt_rat,0,0.0,913
stg_pln_cnt_ftr_fst_ord,0,0.0,914
d730_aplord_stg_grt_fst_month_rto,0,0.0,915
3m_repay_ftr_amt_second_der_great_0_count,0,0.0,916
rsk_avl_lmt_ch_les_5000_rate_1m,0,0.0,917
his_lend_heavy_to_repay_light_inner14d_order_amt_rate,0,0.0,918
min_ddf_mdl_rep_dte_ftr,0,0.0,919
m6_pmt_not_eng_mor_3_stg_pln_d0_amt_sum_rat,0,0.0,920
ord_apl_suc_cnt_04_06,0,0.0,921
stg_pln_max_prc_amt_ovd_pls_fst_ord_bjq_12m,0,0.0,922
stg_pln_max_prc_amt_adv_rep_1m,0,0.0,923
m3_stg_pln_manual_rep_apl_fal_cnt_avg,0,0.0,924
m6_pmt_not_eng_equal_3_stg_pln_d0_cnt,0,0.0,925
m3_stg_pln_rep_apl_suc_cnt_avg,0,0.0,926
ord_apl_suc_sum_prc_amt_360_day_19_23_bjq_12m,0,0.0,927
d180_advrepay_suc_trade_in_same_month_count_sum,0,0.0,928
ord_apl_sum_prc_amt_1080_day_04_06,0,0.0,929
m3_stg_pln_rep_apl_suc_cnt_max,0,0.0,930
stg_pln_sum_rep_prc_12m_his_ovd_0d_pls_3d_zd_v2,0,0.0,931
m6_pmt_not_eng_mor_3_stg_pln_cnt_rat,0,0.0,932
d1080_faqi_unpaid_principal_tot_larger_than_rsk_adt_lmt_cash_his_t_day_count_sum,0,0.0,933
credit_avg_ir_cnt_24m,0,0.0,934
d90_suc_ord_stg_num_sum_all,0,0.0,935
m1_stg_pln_add_bathch_rep_apl_cnt_avg,0,0.0,936
m1_add_bathch_rep_apl_suc_cnt_rat,0,0.0,937
d720_advrepay_suc_trade_in_same_month_count_sum,0,0.0,938
m6_pmt_not_eng_equal_2_stg_pln_d0_amt_sum_rat,0,0.0,939
credit_pass_unique_fund_cnt_24m,0,0.0,940
max_ddf_rep_dte_ord_crt_tim_3,0,0.0,941
recent_24m_prepay_3d_month_cnt,0,0.0,942
m6_stg_pln_manual_rep_apl_cnt_avg,0,0.0,943
credit_limit_cnt_24m,0,0.0,944
stg_pln_cnt_adv_3d,0,0.0,945
d90_aplord_amt_grt_fst_month_rto,0,0.0,946
