mdl_month,score_version,score_decile,score_min,score_max,n_samples,pct,bad_rate,baseline_pct,psi_component,month_psi,lower_bound,upper_bound
2025-11,gcard_v2,006,0.0536298873052419,0.10296779666415606,113016,0.09420873366376745,0.053797692362143414,0.09995915339151891,0.0003407051527878411,0.012195986360134468,"(0.053630, 0.102968]","(0.053630, 0.102968]"
2025-11,gcard_v2,007,0.10296779666415606,0.19997640248560597,106148,0.08848365418119193,0.12934770320684327,0.09999916639574528,0.00140885398153033,0.013604840341664797,"(0.102968, 0.199976]","(0.102968, 0.199976]"
2025-11,gcard_v2,008,0.19997640248560597,0.3692633792949485,104913,0.08745417352292449,0.2690800949358039,0.10000083360425471,0.0016820503807638367,0.015286890722428633,"(0.199976, 0.369263]","(0.199976, 0.369263]"
2025-11,gcard_v2,009,0.3692633792949485,0.6062231732892975,112674,0.09392364671224723,0.4957221719296377,0.09999916639574528,0.00038081154896513203,0.015667702271393767,"(0.369263, 0.606223]","(0.369263, 0.606223]"
2025-11,gcard_v2,010,0.6062231732892975,0.9741262090106864,84632,0.0705481838627448,0.7702642026656584,0.10000083360425471,0.010275516623553334,0.0259432188949471,"(0.606223, 0.974126]","(0.606223, +inf)"
2025-12,gcard_v2,001,0.0014166848566419,0.00496472658111916,151718,0.12647203232364995,0.0006591175733927418,0.10000083360425471,0.006216567074768654,0.006216567074768654,"(-inf, 0.004965]","(0.001417, 0.004965]"
2025-12,gcard_v2,002,0.00496472658111916,0.00857807895495418,148100,0.12345606972892181,0.002072923700202566,0.09999916639574528,0.004942921524376151,0.011159488599144805,"(0.004965, 0.008578]","(0.004965, 0.008578]"
2025-12,gcard_v2,003,0.00857807895495418,0.014988728369779233,137347,0.11449237548317505,0.004710696265662883,0.10000083360425471,0.001961136147096576,0.013120624746241382,"(0.008578, 0.014989]","(0.008578, 0.014989]"
2025-12,gcard_v2,004,0.014988728369779233,0.027973919978419564,128771,0.1073434271104861,0.009971189165262365,0.09999916639574528,0.0005204983615690364,0.013641123107810418,"(0.014989, 0.027974]","(0.014989, 0.027974]"
2025-12,gcard_v2,005,0.027973919978419564,0.0536298873052419,120258,0.10024699549939689,0.02209416421360741,0.10004084660848109,4.2436305454753357e-07,0.013641547470864965,"(0.027974, 0.053630]","(0.027974, 0.053630]"
2025-12,gcard_v2,006,0.0536298873052419,0.10296779666415606,109780,0.09151254108602996,0.053233740207688104,0.09995915339151891,0.0007457143411032293,0.014387261811968194,"(0.053630, 0.102968]","(0.053630, 0.102968]"
2025-12,gcard_v2,007,0.10296779666415606,0.19997640248560597,103328,0.0861341578187038,0.12641297615360791,0.09999916639574528,0.002069432871161075,0.01645669468312927,"(0.102968, 0.199976]","(0.102968, 0.199976]"
2025-12,gcard_v2,008,0.19997640248560597,0.3692633792949485,105935,0.08830735142966463,0.2604710435644499,0.10000083360425471,0.00145414487837885,0.01791083956150812,"(0.199976, 0.369263]","(0.199976, 0.369263]"
2025-12,gcard_v2,009,0.3692633792949485,0.6062231732892975,114420,0.09538044225782062,0.48313231952455865,0.09999916639574528,0.00021841161382080897,0.018129251175328927,"(0.369263, 0.606223]","(0.369263, 0.606223]"
2025-12,gcard_v2,010,0.6062231732892975,0.9741262090106864,79959,0.06665377366276069,0.7499593541690116,0.10000083360425471,0.013527797025928273,0.0316570482012572,"(0.606223, 0.974126]","(0.606223, +inf)"
2026-01,gcard_v2,001,0.0014166848566419,0.00496472658111916,157737,0.13149176889552816,0.000836835999163164,0.10000083360425471,0.008621139005307898,0.008621139005307898,"(-inf, 0.004965]","(0.001417, 0.004965]"
2026-01,gcard_v2,002,0.00496472658111916,0.00857807895495418,151111,0.12596824264168938,0.002441913560230559,0.09999916639574528,0.005995428246687226,0.014616567251995123,"(0.004965, 0.008578]","(0.004965, 0.008578]"
2026-01,gcard_v2,003,0.00857807895495418,0.014988728369779233,138796,0.1157022864364336,0.0044381682469235425,0.10000083360425471,0.0022899293020410944,0.016906496554036216,"(0.008578, 0.014989]","(0.008578, 0.014989]"
2026-01,gcard_v2,004,0.014988728369779233,0.027973919978419564,130891,0.10911256789785895,0.009488811301006182,0.09999916639574528,0.0007948547703878356,0.01770135132442405,"(0.014989, 0.027974]","(0.014989, 0.027974]"
2026-01,gcard_v2,005,0.027973919978419564,0.0536298873052419,120939,0.1008164415353169,0.022226080916825836,0.10004084660848109,5.9898297535331145e-06,0.017707341154177585,"(0.027974, 0.053630]","(0.027974, 0.053630]"
2026-01,gcard_v2,006,0.0536298873052419,0.10296779666415606,108615,0.09054298280421075,0.053427243014316624,0.09995915339151891,0.0009316072022766176,0.018638948356454202,"(0.053630, 0.102968]","(0.053630, 0.102968]"
2026-01,gcard_v2,007,0.10296779666415606,0.19997640248560597,102234,0.08522369197629868,0.12680712874386213,0.09999916639574528,0.0023623380142142663,0.02100128637066847,"(0.102968, 0.199976]","(0.102968, 0.199976]"
2026-01,gcard_v2,008,0.19997640248560597,0.3692633792949485,105925,0.0883005611889336,0.26385650224215246,0.10000083360425471,0.0014558889866289695,0.022457175357297438,"(0.199976, 0.369263]","(0.199976, 0.369263]"
