segment,final_flag,score_version,decile,decile_int,n_samples,pct,bad,bad_rate,score_min,score_max,lower_bound,upper_bound
老户,OOT,gcard_v6,003,3,30977,0.1,5828,0.1881395874358395,0.1645950551032957,0.2275281264580885,"(0.164595, 0.227528]","(0.164595, 0.227528]"
老户,OOT,gcard_v6,002,2,30977,0.1,3900,0.12589986118733254,0.1082098429583759,0.1645874407645697,"(0.108210, 0.164587]","(0.108210, 0.164587]"
老户,OOT,gcard_v6,001,1,30977,0.1,2211,0.07137553668851083,0.0044089517541844,0.1082097800125681,"(-inf, 0.108210]","(0.004409, 0.108210]"
老户,OOT-OOS,model_score,010,10,32748,0.10000213758080818,29241,0.892909490655918,0.8234282830287506,0.9980120051416576,"(0.823428, 0.998012]","(0.823428, +inf)"
老户,OOT-OOS,model_score,009,9,32747,0.09999908389393934,24400,0.7451064219623171,0.6880309580384673,0.823424648369249,"(0.688031, 0.823425]","(0.688031, 0.823425]"
老户,OOT-OOS,model_score,008,8,32747,0.09999908389393934,20360,0.6217363422603597,0.5731428194879945,0.6880183674112335,"(0.573143, 0.688018]","(0.573143, 0.688018]"
老户,OOT-OOS,model_score,007,7,32747,0.09999908389393934,16647,0.508351910098635,0.47320191753832425,0.5731344817901891,"(0.473202, 0.573134]","(0.473202, 0.573134]"
老户,OOT-OOS,model_score,006,6,32747,0.09999908389393934,13600,0.4153052187986686,0.3839203159128028,0.4731967941760667,"(0.383920, 0.473197]","(0.383920, 0.473197]"
老户,OOT-OOS,model_score,005,5,32748,0.10000213758080818,10903,0.33293636252595576,0.30069349222634206,0.38391981357377536,"(0.300693, 0.383920]","(0.300693, 0.383920]"
老户,OOT-OOS,model_score,004,4,32747,0.09999908389393934,8528,0.2604208019055181,0.22188677117654682,0.3006888507067498,"(0.221887, 0.300689]","(0.221887, 0.300689]"
老户,OOT-OOS,model_score,003,3,32747,0.09999908389393934,6129,0.18716218279537056,0.15214189751077867,0.22187978623982102,"(0.152142, 0.221880]","(0.152142, 0.221880]"
老户,OOT-OOS,model_score,002,2,32747,0.09999908389393934,4227,0.12908052646043913,0.09947646487028217,0.15213992390503658,"(0.099476, 0.152140]","(0.099476, 0.152140]"
老户,OOT-OOS,model_score,001,1,32748,0.10000213758080818,2368,0.0723097593746183,0.002998998357369821,0.09947609695881078,"(-inf, 0.099476]","(0.002999, 0.099476]"
老户,OOT-OOS,gcard_v2,010,10,32746,0.10000122153816085,27224,0.8313687167898369,0.7298226706034537,0.9783411382310312,"(0.729823, 0.978341]","(0.729823, +inf)"
老户,OOT-OOS,gcard_v2,009,9,32745,0.09999816769275872,22975,0.7016338372270575,0.6230643034031096,0.7298154038924516,"(0.623064, 0.729815]","(0.623064, 0.729815]"
老户,OOT-OOS,gcard_v2,008,8,32746,0.10000122153816085,19763,0.6035240945458987,0.544185993313874,0.6230635130696667,"(0.544186, 0.623064]","(0.544186, 0.623064]"
老户,OOT-OOS,gcard_v2,007,7,32745,0.09999816769275872,16931,0.5170560390899374,0.4702081307203157,0.544185314097545,"(0.470208, 0.544185]","(0.470208, 0.544185]"
老户,OOT-OOS,gcard_v2,006,6,32746,0.10000122153816085,14259,0.4354424967935015,0.3969179737337536,0.4702079106373892,"(0.396918, 0.470208]","(0.396918, 0.470208]"
老户,OOT-OOS,gcard_v2,005,5,32745,0.09999816769275872,11570,0.3533363872346923,0.322631046939377,0.3969179108576464,"(0.322631, 0.396918]","(0.322631, 0.396918]"
老户,OOT-OOS,gcard_v2,004,4,32746,0.10000122153816085,9234,0.28198863983387285,0.2482031103762278,0.3226252711807941,"(0.248203, 0.322625]","(0.248203, 0.322625]"
老户,OOT-OOS,gcard_v2,003,3,32745,0.09999816769275872,6744,0.2059551076500229,0.1804919300782958,0.2482003841456188,"(0.180492, 0.248200]","(0.180492, 0.248200]"
老户,OOT-OOS,gcard_v2,002,2,32746,0.10000122153816085,4720,0.14413974225859646,0.1151490758613971,0.1804915386557507,"(0.115149, 0.180492]","(0.115149, 0.180492]"
老户,OOT-OOS,gcard_v2,001,1,32746,0.10000122153816085,2975,0.09085079093629757,0.0029293097477053,0.1151480814730593,"(-inf, 0.115148]","(0.002929, 0.115148]"
老户,OOT-OOS,gcard_v4,010,10,32748,0.10000213758080818,28388,0.8668620984487603,0.7183970796933269,0.958109667287269,"(0.718397, 0.958110]","(0.718397, +inf)"
老户,OOT-OOS,gcard_v4,009,9,32747,0.09999908389393934,23986,0.7324640425077106,0.6029352480667102,0.7183927304060138,"(0.602935, 0.718393]","(0.602935, 0.718393]"
老户,OOT-OOS,gcard_v4,008,8,32747,0.09999908389393934,19801,0.6046660762817968,0.4981339876585123,0.6029290693549572,"(0.498134, 0.602929]","(0.498134, 0.602929]"
老户,OOT-OOS,gcard_v4,007,7,32747,0.09999908389393934,16482,0.503313280605857,0.3994067794382845,0.4981294237322625,"(0.399407, 0.498129]","(0.399407, 0.498129]"
老户,OOT-OOS,gcard_v4,006,6,32747,0.09999908389393934,13484,0.41176290957950346,0.3104436245772984,0.3993994119044979,"(0.310444, 0.399399]","(0.310444, 0.399399]"
老户,OOT-OOS,gcard_v4,005,5,32748,0.10000213758080818,10966,0.3348601441309393,0.2256364557961095,0.3104406009274641,"(0.225636, 0.310441]","(0.225636, 0.310441]"
老户,OOT-OOS,gcard_v4,004,4,32747,0.09999908389393934,8741,0.2669252145234678,0.1639129935490047,0.2256350186859082,"(0.163913, 0.225635]","(0.163913, 0.225635]"
老户,OOT-OOS,gcard_v4,003,3,32747,0.09999908389393934,6462,0.19733105322624972,0.1242197891651852,0.1639116111802909,"(0.124220, 0.163912]","(0.124220, 0.163912]"
老户,OOT-OOS,gcard_v4,002,2,32730,0.09994717121716905,4450,0.13596089214787657,0.0934636979707253,0.1242197885194423,"(0.093464, 0.124220]","(0.093464, 0.124220]"
老户,OOT-OOS,gcard_v4,001,1,32765,0.10005405025757849,3643,0.11118571646574088,0.0017609593324224,0.0934587088566843,"(-inf, 0.093459]","(0.001761, 0.093459]"
老户,OOT-OOS,gcard_v5,010,10,32748,0.10000213758080818,27236,0.8316843776719189,0.751353919506073,0.9684118628501892,"(0.751354, 0.968412]","(0.751354, +inf)"
老户,OOT-OOS,gcard_v5,009,9,32747,0.09999908389393934,22950,0.7008275567227532,0.6249158978462219,0.7513505220413208,"(0.624916, 0.751351]","(0.624916, 0.751351]"
老户,OOT-OOS,gcard_v5,008,8,32747,0.09999908389393934,19782,0.6040858704614163,0.5125417113304138,0.6249146461486816,"(0.512542, 0.624915]","(0.512542, 0.624915]"
老户,OOT-OOS,gcard_v5,007,7,32747,0.09999908389393934,16575,0.5061532354108773,0.41250181198120117,0.5125386714935303,"(0.412502, 0.512539]","(0.412502, 0.512539]"
老户,OOT-OOS,gcard_v5,006,6,32746,0.09999603020707051,13868,0.4235021071275881,0.3249070942401886,0.4125012755393982,"(0.324907, 0.412501]","(0.324907, 0.412501]"
老户,OOT-OOS,gcard_v5,005,5,32749,0.10000519126767703,11522,0.35182753671867845,0.24807706475257874,0.32489973306655884,"(0.248077, 0.324900]","(0.248077, 0.324900]"
老户,OOT-OOS,gcard_v5,004,4,32747,0.09999908389393934,9406,0.287232418236785,0.1800001859664917,0.24807681143283844,"(0.180000, 0.248077]","(0.180000, 0.248077]"
