segment,final_flag,score_version,intent_level,zc_level,n_samples,ftr_30d_count,ftr_30d_rate
流失户,DEV-OOS,gcard_v2,中意愿,4,48771,520,0.010662073773348915
流失户,DEV-OOS,gcard_v2,中意愿,5,125312,1173,0.009360635852911133
流失户,DEV-OOS,gcard_v2,中意愿,6,362502,2354,0.006493757275821926
流失户,DEV-OOS,gcard_v2,中意愿,7,163386,727,0.004449585643812811
流失户,DEV-OOS,gcard_v2,高意愿,1,32336,3241,0.10022884710539337
流失户,DEV-OOS,gcard_v2,高意愿,2,70106,5919,0.08442929278521097
流失户,DEV-OOS,gcard_v2,高意愿,3,97438,7556,0.0775467476754449
流失户,DEV-OOS,gcard_v2,高意愿,4,60147,4255,0.07074334547026452
流失户,DEV-OOS,gcard_v2,高意愿,5,134573,9436,0.07011807717744273
流失户,DEV-OOS,gcard_v2,高意愿,6,260582,17852,0.06850818552317504
流失户,DEV-OOS,gcard_v2,高意愿,7,115585,6613,0.05721330622485617
流失户,DEV-OOS,gcard_v2,低意愿,合计,770767,1386,0.0017982087972110898
流失户,DEV-OOS,gcard_v2,中意愿,合计,770767,5593,0.0072564082271296
流失户,DEV-OOS,gcard_v2,高意愿,合计,770767,54872,0.07119142360791264
流失户,DEV-OOS,gcard_v2,合计,1,36848,3283,0.08909574468085106
流失户,DEV-OOS,gcard_v2,合计,2,92270,6155,0.06670640511542213
流失户,DEV-OOS,gcard_v2,合计,3,162742,8164,0.05016529230315469
流失户,DEV-OOS,gcard_v2,合计,4,133688,4851,0.0362859792950751
流失户,DEV-OOS,gcard_v2,合计,5,325969,10826,0.03321174712932825
流失户,DEV-OOS,gcard_v2,合计,6,1005987,20957,0.020832277156663057
流失户,DEV-OOS,gcard_v2,合计,7,554797,7615,0.013725741126934716
流失户,DEV-OOS,gcard_v4,低意愿,1,1318,29,0.022003034901365705
流失户,DEV-OOS,gcard_v4,低意愿,2,8920,213,0.023878923766816145
流失户,DEV-OOS,gcard_v4,低意愿,3,29855,470,0.01574275665717635
流失户,DEV-OOS,gcard_v4,低意愿,4,36913,459,0.012434643621488365
流失户,DEV-OOS,gcard_v4,低意愿,5,91875,1045,0.011374149659863945
流失户,DEV-OOS,gcard_v4,低意愿,6,369816,2552,0.0069007290111839405
流失户,DEV-OOS,gcard_v4,低意愿,7,260431,1241,0.004765177724618037
流失户,DEV-OOS,gcard_v4,中意愿,1,2422,34,0.014037985136251032
流失户,DEV-OOS,gcard_v4,中意愿,2,9554,210,0.021980322378061544
流失户,DEV-OOS,gcard_v4,中意愿,3,29781,511,0.017158591047983614
流失户,DEV-OOS,gcard_v4,中意愿,4,29435,400,0.013589264481059963
流失户,DEV-OOS,gcard_v4,中意愿,5,98707,1376,0.013940247398867355
流失户,DEV-OOS,gcard_v4,中意愿,6,362959,3135,0.008637339203601508
流失户,DEV-OOS,gcard_v4,中意愿,7,209558,1164,0.005554548144189198
流失户,DEV-OOS,gcard_v4,高意愿,1,33108,3220,0.09725746043252387
流失户,DEV-OOS,gcard_v4,高意愿,2,73796,5732,0.07767358664426256
流失户,DEV-OOS,gcard_v4,高意愿,3,103106,7183,0.0696661687971602
流失户,DEV-OOS,gcard_v4,高意愿,4,67340,3992,0.05928125928125928
流失户,DEV-OOS,gcard_v4,高意愿,5,135387,8405,0.06208129288631848
流失户,DEV-OOS,gcard_v4,高意愿,6,273212,15270,0.05589066366045415
流失户,DEV-OOS,gcard_v4,高意愿,7,84808,5210,0.061432883690217904
流失户,DEV-OOS,gcard_v4,低意愿,合计,799128,6009,0.007519446196354026
流失户,DEV-OOS,gcard_v4,中意愿,合计,742416,6830,0.00919969397211267
流失户,DEV-OOS,gcard_v4,高意愿,合计,770757,49012,0.06358943220755699
流失户,DEV-OOS,gcard_v4,合计,1,36848,3283,0.08909574468085106
流失户,DEV-OOS,gcard_v4,合计,2,92270,6155,0.06670640511542213
流失户,DEV-OOS,gcard_v4,合计,3,162742,8164,0.05016529230315469
流失户,DEV-OOS,gcard_v4,合计,4,133688,4851,0.0362859792950751
流失户,DEV-OOS,gcard_v4,合计,5,325969,10826,0.03321174712932825
流失户,DEV-OOS,gcard_v4,合计,6,1005987,20957,0.020832277156663057
流失户,DEV-OOS,gcard_v4,合计,7,554797,7615,0.013725741126934716
流失户,DEV-OOS,gcard_v5,低意愿,1,420,0,0.0
流失户,DEV-OOS,gcard_v5,低意愿,2,2895,14,0.004835924006908463
流失户,DEV-OOS,gcard_v5,低意愿,3,13139,63,0.004794885455514118
流失户,DEV-OOS,gcard_v5,低意愿,4,21392,71,0.003318997756170531
流失户,DEV-OOS,gcard_v5,低意愿,5,57913,190,0.003280783243831264
流失户,DEV-OOS,gcard_v5,低意愿,6,389249,715,0.0018368704865009287
流失户,DEV-OOS,gcard_v5,低意愿,7,286252,319,0.001114402694129648
流失户,DEV-OOS,gcard_v5,中意愿,1,3731,45,0.012061109622085233
流失户,DEV-OOS,gcard_v5,中意愿,2,17129,212,0.01237667114250686
流失户,DEV-OOS,gcard_v5,中意愿,3,48338,517,0.010695519053332781
流失户,DEV-OOS,gcard_v5,中意愿,4,46168,420,0.009097210188875412
流失户,DEV-OOS,gcard_v5,中意愿,5,134593,1189,0.008834040403289918
流失户,DEV-OOS,gcard_v5,中意愿,6,356989,2147,0.006014190913445512
流失户,DEV-OOS,gcard_v5,中意愿,7,163379,648,0.003966238011005086
流失户,DEV-OOS,gcard_v5,高意愿,1,32710,3239,0.0990217059003363
流失户,DEV-OOS,gcard_v5,高意愿,2,72268,5929,0.08204184424641611
